Date,CoffeeAmount_ml,Bedtime,WakeupTime,SleepQuality,EnergyLevel,ExamDay,Weather_Precipitation,SleepDuration_hr,Weekday
2025-10-10,330,22:00:00,09:30:00,4,3,0,1,11.5,1
2025-10-11,250,23:30:00,11:30:00,3,2,0,1,12.0,0
2025-10-12,330,00:00:00,12:00:00,2,2,0,1,12.0,0
2025-10-13,400,23:00:00,10:15:00,5,4,0,1,11.25,1
2025-10-14,0,22:00:00,09:30:00,3,4,0,1,11.5,1
2025-10-15,150,23:30:00,09:30:00,4,3,0,1,10.0,1
2025-10-16,250,23:30:00,08:30:00,4,3,0,1,9.0,1
2025-10-17,400,22:00:00,10:30:00,4,3,0,0,12.5,1
2025-10-18,0,00:00:00,11:00:00,2,1,0,1,11.0,0
2025-10-19,0,00:00:00,12:30:00,1,4,0,1,12.5,0
2025-10-20,330,23:30:00,10:15:00,3,3,0,1,10.75,1
2025-10-21,330,22:00:00,10:30:00,3,3,0,0,12.5,1
2025-10-22,150,02:00:00,10:00:00,2,4,0,0,8.0,1
2025-10-23,0,23:30:00,09:30:00,2,4,0,1,10.0,1
2025-10-24,500,00:30:00,09:30:00,4,2,0,1,9.0,1
2025-10-25,330,22:00:00,11:30:00,4,1,0,1,13.5,0
2025-10-26,0,00:00:00,11:30:00,1,1,0,1,11.5,0
2025-10-27,0,00:00:00,10:15:00,2,2,0,1,10.25,1
2025-10-28,330,00:30:00,12:30:00,3,2,0,1,12.0,1
2025-10-29,250,00:00:00,12:30:00,4,2,0,0,12.5,1
2025-10-30,0,23:30:00,11:00:00,4,3,0,0,11.5,1
2025-10-31,200,23:30:00,10:00:00,3,2,0,0,10.5,1
2025-11-01,250,00:30:00,11:00:00,1,3,0,0,10.5,0
2025-11-02,0,23:30:00,12:30:00,1,4,0,0,13.0,0
2025-11-03,0,23:00:00,10:15:00,1,2,0,0,11.25,1
2025-11-04,330,00:30:00,10:00:00,3,4,0,0,9.5,1
2025-11-05,250,23:30:00,09:30:00,2,3,0,1,10.0,1
2025-11-06,330,00:30:00,08:30:00,2,4,0,1,8.0,1
2025-11-07,0,00:30:00,10:00:00,1,1,0,1,9.5,1
2025-11-08,250,22:00:00,12:30:00,5,2,0,0,14.5,0
2025-11-09,0,23:30:00,10:00:00,2,3,1,0,10.5,0
2025-11-10,250,01:30:00,10:15:00,3,4,0,0,8.75,1
2025-11-11,500,01:30:00,09:30:00,4,4,0,1,8.0,1
2025-11-12,330,00:30:00,10:00:00,4,3,0,1,9.5,1
2025-11-13,250,23:30:00,09:30:00,2,2,0,1,10.0,1
2025-11-14,500,00:30:00,10:30:00,3,2,0,1,10.0,1
2025-11-15,800,00:30:00,11:00:00,3,1,0,0,10.5,0
2025-11-16,0,22:00:00,10:00:00,4,1,1,0,12.0,0
2025-11-17,330,01:30:00,10:15:00,1,2,0,0,8.75,1
2025-11-18,400,23:30:00,10:30:00,2,1,0,0,11.0,1
2025-11-19,250,01:30:00,10:00:00,2,1,0,0,8.5,1
2025-11-20,500,23:30:00,11:00:00,1,2,0,0,11.5,1
2025-11-21,250,02:00:00,10:00:00,1,2,0,0,8.0,1
2025-11-22,500,02:00:00,09:30:00,2,1,1,0,7.5,0
2025-11-23,330,00:30:00,12:30:00,1,1,0,0,12.0,0
2025-11-24,0,00:30:00,10:00:00,3,1,0,1,9.5,1
2025-11-25,250,01:30:00,10:00:00,3,2,0,0,8.5,1
2025-11-26,400,02:00:00,10:30:00,4,2,0,0,8.5,1
2025-11-27,500,23:30:00,08:30:00,2,2,0,0,9.0,1
2025-11-28,0,02:00:00,09:30:00,1,2,0,1,7.5,1
2025-11-29,250,01:30:00,09:30:00,3,1,1,1,8.0,0
2025-11-30,330,23:30:00,11:30:00,4,1,0,1,12.0,0
